Iterations,Accuracy (%),ATK,AGG,Momentum,seed,Bucketing
150,54.28685897435897,mimic,KRUM,0.9,0,2
180,55.779246794871796,mimic,KRUM,0.9,0,2
210,55.43870192307692,mimic,KRUM,0.9,0,2
240,56.66065705128205,mimic,KRUM,0.9,0,2
270,57.522035256410255,mimic,KRUM,0.9,0,2
300,57.59214743589744,mimic,KRUM,0.9,0,2
330,57.732371794871796,mimic,KRUM,0.9,0,2
360,55.208333333333336,mimic,KRUM,0.9,0,2
390,58.66386217948718,mimic,KRUM,0.9,0,2
420,59.15464743589744,mimic,KRUM,0.9,0,2
450,58.6338141025641,mimic,KRUM,0.9,0,2
480,59.23477564102564,mimic,KRUM,0.9,0,2
510,59.15464743589744,mimic,KRUM,0.9,0,2
540,58.493589743589745,mimic,KRUM,0.9,0,2
570,59.19471153846154,mimic,KRUM,0.9,0,2
600,59.13461538461539,mimic,KRUM,0.9,0,2
30,15.404647435897436,IPM,KRUM,0.9,0,2
60,10.336538461538462,IPM,KRUM,0.9,0,2
90,10.757211538461538,IPM,KRUM,0.9,0,2
120,19.491185897435898,IPM,KRUM,0.9,0,2
150,37.27964743589744,IPM,KRUM,0.9,0,2
180,41.70673076923077,IPM,KRUM,0.9,0,2
210,52.604166666666664,IPM,KRUM,0.9,0,2
240,52.25360576923077,IPM,KRUM,0.9,0,2
270,58.40344551282051,IPM,KRUM,0.9,0,2
300,58.703926282051285,IPM,KRUM,0.9,0,2
330,59.375,IPM,KRUM,0.9,0,2
360,56.770833333333336,IPM,KRUM,0.9,0,2
390,58.64383012820513,IPM,KRUM,0.9,0,2
420,59.094551282051285,IPM,KRUM,0.9,0,2
450,60.026041666666664,IPM,KRUM,0.9,0,2
480,60.076121794871796,IPM,KRUM,0.9,0,2
510,60.35657051282051,IPM,KRUM,0.9,0,2
540,43.860176282051285,IPM,KRUM,0.9,0,2
570,4.857772435897436,IPM,KRUM,0.9,0,2
600,9.985977564102564,IPM,KRUM,0.9,0,2
30,51.50240384615385,ALIE,KRUM,0.9,0,2
60,24.83974358974359,ALIE,KRUM,0.9,0,2
90,50.63100961538461,ALIE,KRUM,0.9,0,2
120,77.68429487179488,ALIE,KRUM,0.9,0,2
150,27.634214743589745,ALIE,KRUM,0.9,0,2
180,27.11338141025641,ALIE,KRUM,0.9,0,2
210,46.26402243589744,ALIE,KRUM,0.9,0,2
240,10.116185897435898,ALIE,KRUM,0.9,0,2
270,14.132612179487179,ALIE,KRUM,0.9,0,2
300,70.44270833333333,ALIE,KRUM,0.9,0,2
330,10.116185897435898,ALIE,KRUM,0.9,0,2
360,10.116185897435898,ALIE,KRUM,0.9,0,2
390,10.116185897435898,ALIE,KRUM,0.9,0,2
420,10.116185897435898,ALIE,KRUM,0.9,0,2
450,10.116185897435898,ALIE,KRUM,0.9,0,2
480,10.116185897435898,ALIE,KRUM,0.9,0,2
510,10.116185897435898,ALIE,KRUM,0.9,0,2
540,10.116185897435898,ALIE,KRUM,0.9,0,2
570,10.116185897435898,ALIE,KRUM,0.9,0,2
600,10.116185897435898,ALIE,KRUM,0.9,0,2
30,8.934294871794872,BF,KRUM,0.0,1,0
60,11.828926282051283,BF,KRUM,0.0,1,0
90,13.301282051282051,BF,KRUM,0.0,1,0
120,25.841346153846153,BF,KRUM,0.0,1,0
150,28.92628205128205,BF,KRUM,0.0,1,0
180,26.602564102564102,BF,KRUM,0.0,1,0
210,32.7724358974359,BF,KRUM,0.0,1,0
240,29.607371794871796,BF,KRUM,0.0,1,0
270,27.94471153846154,BF,KRUM,0.0,1,0
300,26.26201923076923,BF,KRUM,0.0,1,0
330,32.0713141025641,BF,KRUM,0.0,1,0
360,30.62900641025641,BF,KRUM,0.0,1,0
390,32.502003205128204,BF,KRUM,0.0,1,0
420,32.532051282051285,BF,KRUM,0.0,1,0
450,31.590544871794872,BF,KRUM,0.0,1,0
480,30.849358974358974,BF,KRUM,0.0,1,0
510,29.31690705128205,BF,KRUM,0.0,1,0
540,28.81610576923077,BF,KRUM,0.0,1,0
570,33.23317307692308,BF,KRUM,0.0,1,0
600,35.446714743589745,BF,KRUM,0.0,1,0
30,2.2636217948717947,LF,KRUM,0.0,1,0
60,1.9831730769230769,LF,KRUM,0.0,1,0
90,1.252003205128205,LF,KRUM,0.0,1,0
120,1.6726762820512822,LF,KRUM,0.0,1,0
150,1.6626602564102564,LF,KRUM,0.0,1,0
180,1.6225961538461537,LF,KRUM,0.0,1,0
210,1.422275641025641,LF,KRUM,0.0,1,0
240,1.4523237179487178,LF,KRUM,0.0,1,0
270,1.2419871794871795,LF,KRUM,0.0,1,0
300,1.1318108974358974,LF,KRUM,0.0,1,0
330,1.171875,LF,KRUM,0.0,1,0
360,1.001602564102564,LF,KRUM,0.0,1,0
390,1.0616987179487178,LF,KRUM,0.0,1,0
420,0.9815705128205128,LF,KRUM,0.0,1,0
450,0.9214743589743589,LF,KRUM,0.0,1,0
480,1.0717147435897436,LF,KRUM,0.0,1,0
510,1.0416666666666667,LF,KRUM,0.0,1,0
540,1.0116185897435896,LF,KRUM,0.0,1,0
570,1.091746794871795,LF,KRUM,0.0,1,0
600,1.0416666666666667,LF,KRUM,0.0,1,0
30,19.561298076923077,mimic,KRUM,0.0,1,0
60,31.099759615384617,mimic,KRUM,0.0,1,0
90,29.126602564102566,mimic,KRUM,0.0,1,0
120,32.84254807692308,mimic,KRUM,0.0,1,0
150,38.411458333333336,mimic,KRUM,0.0,1,0
180,34.78565705128205,mimic,KRUM,0.0,1,0
210,32.10136217948718,mimic,KRUM,0.0,1,0
240,31.901041666666668,mimic,KRUM,0.0,1,0
270,41.74679487179487,mimic,KRUM,0.0,1,0
300,40.48477564102564,mimic,KRUM,0.0,1,0
330,39.89383012820513,mimic,KRUM,0.0,1,0
360,42.73838141025641,mimic,KRUM,0.0,1,0
390,40.79527243589744,mimic,KRUM,0.0,1,0
420,39.08253205128205,mimic,KRUM,0.0,1,0
450,39.77363782051282,mimic,KRUM,0.0,1,0
480,43.7099358974359,mimic,KRUM,0.0,1,0
510,42.75841346153846,mimic,KRUM,0.0,1,0
540,41.40625,mimic,KRUM,0.0,1,0
570,47.64623397435897,mimic,KRUM,0.0,1,0
600,46.33413461538461,mimic,KRUM,0.0,1,0
30,8.233173076923077,IPM,KRUM,0.0,1,0
60,7.271634615384615,IPM,KRUM,0.0,1,0
90,9.435096153846153,IPM,KRUM,0.0,1,0
120,8.934294871794872,IPM,KRUM,0.0,1,0
150,9.835737179487179,IPM,KRUM,0.0,1,0
180,9.835737179487179,IPM,KRUM,0.0,1,0
210,9.835737179487179,IPM,KRUM,0.0,1,0
240,28.265224358974358,IPM,KRUM,0.0,1,0
270,30.048076923076923,IPM,KRUM,0.0,1,0
300,33.86418269230769,IPM,KRUM,0.0,1,0
330,33.89423076923077,IPM,KRUM,0.0,1,0
360,34.17467948717949,IPM,KRUM,0.0,1,0
390,34.90584935897436,IPM,KRUM,0.0,1,0
420,39.162660256410255,IPM,KRUM,0.0,1,0
450,36.18790064102564,IPM,KRUM,0.0,1,0
480,37.66025641025641,IPM,KRUM,0.0,1,0
510,38.44150641025641,IPM,KRUM,0.0,1,0
540,37.12940705128205,IPM,KRUM,0.0,1,0
570,37.399839743589745,IPM,KRUM,0.0,1,0
600,37.83052884615385,IPM,KRUM,0.0,1,0
30,75.25040064102564,ALIE,KRUM,0.0,1,0
60,84.61538461538461,ALIE,KRUM,0.0,1,0
90,87.28966346153847,ALIE,KRUM,0.0,1,0
120,86.77884615384616,ALIE,KRUM,0.0,1,0
150,76.9931891025641,ALIE,KRUM,0.0,1,0
180,75.29046474358974,ALIE,KRUM,0.0,1,0
210,72.85657051282051,ALIE,KRUM,0.0,1,0
240,80.48878205128206,ALIE,KRUM,0.0,1,0
270,77.40384615384616,ALIE,KRUM,0.0,1,0
300,86.37820512820512,ALIE,KRUM,0.0,1,0
330,80.60897435897436,ALIE,KRUM,0.0,1,0
360,86.29807692307692,ALIE,KRUM,0.0,1,0
390,79.54727564102564,ALIE,KRUM,0.0,1,0
420,83.9443108974359,ALIE,KRUM,0.0,1,0
450,83.2431891025641,ALIE,KRUM,0.0,1,0
480,82.56209935897436,ALIE,KRUM,0.0,1,0
510,87.05929487179488,ALIE,KRUM,0.0,1,0
540,84.47516025641026,ALIE,KRUM,0.0,1,0
570,86.49839743589743,ALIE,KRUM,0.0,1,0
600,79.2568108974359,ALIE,KRUM,0.0,1,0
30,10.336538461538462,BF,KRUM,0.9,1,0
60,9.595352564102564,BF,KRUM,0.9,1,0
90,9.835737179487179,BF,KRUM,0.9,1,0
120,9.835737179487179,BF,KRUM,0.9,1,0
150,9.835737179487179,BF,KRUM,0.9,1,0
180,9.835737179487179,BF,KRUM,0.9,1,0
210,9.835737179487179,BF,KRUM,0.9,1,0
240,9.835737179487179,BF,KRUM,0.9,1,0
270,9.835737179487179,BF,KRUM,0.9,1,0
300,9.835737179487179,BF,KRUM,0.9,1,0
330,9.835737179487179,BF,KRUM,0.9,1,0
360,9.835737179487179,BF,KRUM,0.9,1,0
390,9.835737179487179,BF,KRUM,0.9,1,0
420,9.835737179487179,BF,KRUM,0.9,1,0
450,9.835737179487179,BF,KRUM,0.9,1,0
